name,stars,title,review
Rajan Dimri,4.0 out of 5 stars,"Impressed with Performance, Disappointed with Camera Quality - Apple 2020 MacBook Air","I recently purchased the Apple 2020 MacBook Air Laptop with M1 chip and I must say, I'm quite impressed with its performance. The M1 chip is a game-changer and offers unparalleled speed and efficiency, making it a joy to use. The 13.3-inch Retina Display is stunning and provides crisp, clear visuals that are easy on the eyes. The laptop comes with 8GB RAM and 256GB SSD Storage, which offers ample space to store files and run multiple applications without any lag. The Backlit Keyboard is comfortable to use, and the FaceTime HD Camera provides clear video quality for virtual meetings.One of the standout features of this laptop is the Touch ID feature. It is incredibly convenient and makes it quick and easy to unlock the laptop without having to remember passwords. This feature, combined with the overall speed and efficiency of the M1 chip, makes for a smooth and seamless user experience. Additionally, the laptop works seamlessly with iPhone and iPad, making it convenient to share files and work across multiple devices.However, there are a few drawbacks to this laptop that led me to give it a 4-star rating. Firstly, the laptop tends to heat up quite a bit during intensive tasks, such as video editing or running multiple applications simultaneously. This can be quite uncomfortable and sometimes even affect performance. Secondly, the battery life could be better, as it drains fairly quickly during heavy usage. This is a bit of a letdown, as one of the key benefits of the M1 chip was supposed to be its efficiency and battery life.Finally, the lack of ports is a bit of a drawback. The laptop only comes with two Thunderbolt 3 ports, which means that users will need to purchase additional dongles or hubs to connect other devices. This can be inconvenient and adds to the overall cost of the laptop. Additionally, the absence of an SD card slot is a bit of a bummer, as it is a commonly used port by photographers and videographers.In conclusion, the Apple 2020 MacBook Air Laptop with M1 chip is a great investment and offers a lot of features and benefits, but it does have some drawbacks. It is a powerful and efficient machine that is great for everyday use, but it may not be the best choice for professionals who require more intensive applications. Despite the drawbacks, I would still recommend it to anyone in the market for a high-performance laptop that offers speed, efficiency, and convenience.Bullet points:The M1 chip provides unparalleled speed and efficiencyThe 13.3-inch Retina Display is stunning and provides crisp, clear visualsThe Backlit Keyboard is comfortable to use, and the FaceTime HD Camera provides clear video qualityThe Touch ID feature is incredibly convenient and makes it quick and easy to unlock the laptop without having to remember passwordsThe laptop works seamlessly with iPhone and iPad, making it convenient to share files and work across multiple devicesThe laptop tends to heat up quite a bit during intensive tasksThe battery life could be better, as it drains fairly quickly during heavy usageThe lack of ports, particularly the absence of an SD card slot, is a bit of a drawback"
Erick Franky,4.0 out of 5 stars,"For office use and watching movies, its great!",Its still the M1 but it beats the intel macbook air.Also it doesn’t overheat and its very smooth to work with. Display is good. Performance is good. I don’t use it for heavy work but i have done some tests and it can do rendering very fast. It packs quite a punch and i love using it. Its lightweight and the battery lasts for a long time.
Omkar Apte,5.0 out of 5 stars,Amazing piece of Tech,"Bought it during summer sale and with generous cash back of 3000 I felt it was a good deal for those without any credit card.Regarding the Mac its simply beautiful, with its all metal/ aluminium body, amazing keys and gorgeous display its a joy to use.The OS on other side will take some time getting used to. But have to say it definitely looks more polished and slick compared to Windows 11."
Vedanta Banerjee,5.0 out of 5 stars,"If you have the budget for it, GO FOR IT!","The media could not be loaded.  An absolute pleasure using this laptop! I have been an windows user for the last 13years and yeah switching is a bit difficult at first but after a few days, this becomes a productive beast. Things get done soo quicker, smoother with the 8Core M1 CPU and 7Core GPU. The screen is absolutely stunning and the sound is really good. This has been the best purchase!! I guess this has turned me into a apple fanboy lol"
Srihari,4.0 out of 5 stars,One of the best tech gadget I have ever used till 2023,"MacBook Air m1 (8GB, 256 GB) - Gold variantMy thoughts on after using for 1 year still the best for the budget spent on laptop. It has amazing battery life, instant wake up time from screen lock, software updates, good for media consumption for long time, no stutters while using and executing code with IT softwares, sidecar, mirroring to apple devices is smooth, universal control. And I have stopped using iPad once I bought MacBook.Only issue I faced was the charger included in box is faulty. when plugged in to wall socket to laptop, can feel the laptop body getting shock. I have purchased dual usb c charger from apple and using it. charger quality could have been better during quality checks."
Poornima,5.0 out of 5 stars,An actual laptop which doesn't burn your lap,"I get 6-8hrs of screen on time with wifi and bluetooth so actually portable as I dont need to carry charger everywhere and when I close it on friday and open it Monday battery percentage is only decreased 1-2% unbelievable why can't windows laptops be like this? all windows laptops I used is zero battery by Monday morning. Not all positive sometimes I see beachball with teamviewer and notes app updates didnt fix it yet.Apple alternatives for MS office is not upto mark, word documents have fonts scrambled so have to install MS office for office work anyway."
Dipanshu ,5.0 out of 5 stars,"Had issues, now it's resolved.","1. laptop is getting off below 80% battery life and suddenly showing 10% battery life, after plugging the adapter suddenly showing 70-80% battery life. 2. This issue was from the beginning the battery life was in normal condition then i updated the software again and reset the smc now its working fine."
SELJI THOMAS,5.0 out of 5 stars,Mind blowing purchase,Wua.... better than any Intel based laptops costs between 60k to 1L
chetndas,4.0 out of 5 stars,Good battery life and RAM management,"Got it for 80K in last sale after all discounts combined. Received securely packed, and brand new no issues there. Here are some pros and cons you may want to consider:1. Wonderful battery life: Most amazing feature of this laptop - can take it outdoors, with full screen brightness, and heavy workload (heavy programs running with 7GB / 8GB RAM used), it gives 8-10 hours or even more (haven't tried sitting all day outdoors).2. Great screen: Better than my Mi notebook pro, that too has good screen, but this one is brighter and crispier and the difference is well noted in bright sunlight.3. RAM management: I run chrome with 8-10 tabs open, heavy programs running that takes 14GB / 16GB RAM in my Mi notebok pro, this one manages it with 7GB / 8GB RAM. That's all. I felt some lag opening photoshop, 2-3 seconds delay clicking open button and actually opening of photoshop application, but I don't mind it. Comparing processing with my Mi notebook pro i5 with 16 GB RAM, this one is comparable.4. Light weight and slim: At cost of slightly smaller screen.Conclusion: This tool will get you through your general and programming needs with mac os."
Prem,5.0 out of 5 stars,Very good,Light weight and nice
